Nombre;Aeropuerto Origen;Ciudad Origen;Aeropuerto Destino;Ciudad Destino
AER CARIBE S.A.;AEROPUERTO INTERNACIONAL ALFONSO BONILLA ARAGON;CALI;AEROPUERTO INTERNACIONAL EL DORADO;BOGOTA
AEROPACA SAS;AEROPUERTO INTERNACIONAL ALFONSO BONILLA ARAGON;CALI;OLAYA HERRERA;MEDELLIN
AEROPACA SAS;AEROPUERTO INTERNACIONAL ALFONSO BONILLA ARAGON;CALI;PERALES;IBAGUE
AEROPACA SAS;AEROPUERTO INTERNACIONAL ALFONSO BONILLA ARAGON;CALI;SANTA ANA;CARTAGO
AEROREPUBLICA;AEROPUERTO INTERNACIONAL ALFONSO BONILLA ARAGON;CALI;AEROPUERTO INTERNACIONAL EL DORADO;BOGOTA
AEROSUCRE;AEROPUERTO INTERNACIONAL ALFONSO BONILLA ARAGON;CALI;AEROPUERTO INTERNACIONAL EL DORADO;BOGOTA
AEROSUCRE;AEROPUERTO INTERNACIONAL ALFONSO BONILLA ARAGON;CALI;AEROPUERTO INTERNACIONAL JOSE MARIA CORDOVA;RIONEGRO
AIRES;AEROPUERTO INTERNACIONAL ALFONSO BONILLA ARAGON;CALI;AEROPUERTO INTERNACIONAL EL DORADO;BOGOTA
AIRES;AEROPUERTO INTERNACIONAL ALFONSO BONILLA ARAGON;CALI;AEROPUERTO INTERNACIONAL ERNESTO CORTISSOZ;BARRANQUILLA
AIRES;AEROPUERTO INTERNACIONAL ALFONSO BONILLA ARAGON;CALI;AEROPUERTO INTERNACIONAL GUSTAVO ROJAS PINILLA;SAN ANDRES - ISLA
AIRES;AEROPUERTO INTERNACIONAL ALFONSO BONILLA ARAGON;CALI;AEROPUERTO INTERNACIONAL JOSE MARIA CORDOVA;RIONEGRO
AIRES;AEROPUERTO INTERNACIONAL ALFONSO BONILLA ARAGON;CALI;AEROPUERTO INTERNACIONAL LOS GARZONES;MONTERIA
AVIANCA;AEROPUERTO INTERNACIONAL ALFONSO BONILLA ARAGON;CALI;AEROPUERTO INTERNACIONAL MATECANA;PEREIRA
AIRES;AEROPUERTO INTERNACIONAL ALFONSO BONILLA ARAGON;CALI;AEROPUERTO INTERNACIONAL SIMON BOLIVAR;SANTA MARTA
AVIANCA;AEROPUERTO INTERNACIONAL ALFONSO BONILLA ARAGON;CALI;AEROPUERTO INTERNACIONAL ALFREDO VASQUEZ COBO;LETICIA
AVIANCA;AEROPUERTO INTERNACIONAL ALFONSO BONILLA ARAGON;CALI;AEROPUERTO INTERNACIONAL CAMILO DAZA;CUCUTA
AVIANCA;AEROPUERTO INTERNACIONAL ALFONSO BONILLA ARAGON;CALI;AEROPUERTO INTERNACIONAL EL DORADO;BOGOTA
AVIANCA;AEROPUERTO INTERNACIONAL ALFONSO BONILLA ARAGON;CALI;AEROPUERTO INTERNACIONAL EL EDEN;ARMENIA
AVIANCA;AEROPUERTO INTERNACIONAL ALFONSO BONILLA ARAGON;CALI;AEROPUERTO INTERNACIONAL ERNESTO CORTISSOZ;BARRANQUILLA
AVIANCA;AEROPUERTO INTERNACIONAL ALFONSO BONILLA ARAGON;CALI;AEROPUERTO INTERNACIONAL GUSTAVO ROJAS PINILLA;SAN ANDRES - ISLA
AVIANCA;AEROPUERTO INTERNACIONAL ALFONSO BONILLA ARAGON;CALI;AEROPUERTO INTERNACIONAL JOSE MARIA CORDOVA;RIONEGRO
AVIANCA;AEROPUERTO INTERNACIONAL ALFONSO BONILLA ARAGON;CALI;AEROPUERTO INTERNACIONAL LOS GARZONES;MONTERIA
AVIANCA;AEROPUERTO INTERNACIONAL ALFONSO BONILLA ARAGON;CALI;AEROPUERTO INTERNACIONAL PALONEGRO;BUCARAMANGA
AVIANCA;AEROPUERTO INTERNACIONAL ALFONSO BONILLA ARAGON;CALI;AEROPUERTO INTERNACIONAL SIMON BOLIVAR;SANTA MARTA
AVIANCA;AEROPUERTO INTERNACIONAL ALFONSO BONILLA ARAGON;CALI;ALFONSO LOPEZ PUMAREJO;VALLEDUPAR
AVIANCA;AEROPUERTO INTERNACIONAL ALFONSO BONILLA ARAGON;CALI;ALMIRANTE PADILLA;RIOHACHA
DELTA;AEROPUERTO INTERNACIONAL ALFONSO BONILLA ARAGON;CALI;AEROPUERTO INTERNACIONAL EL DORADO;BOGOTA
EASYFLY S.A;AEROPUERTO INTERNACIONAL ALFONSO BONILLA ARAGON;CALI;AEROPUERTO INTERNACIONAL JOSE MARIA CORDOVA;RIONEGRO
EASYFLY S.A;AEROPUERTO INTERNACIONAL ALFONSO BONILLA ARAGON;CALI;ANTONIO ROLDAN BETANCOURT;CAREPA
EASYFLY S.A;AEROPUERTO INTERNACIONAL ALFONSO BONILLA ARAGON;CALI;BENITO SALAS VARGAS;NEIVA
EASYFLY S.A;AEROPUERTO INTERNACIONAL ALFONSO BONILLA ARAGON;CALI;GUSTAVO ARTUNDUAGA PAREDES;FLORENCIA
EASYFLY S.A;AEROPUERTO INTERNACIONAL ALFONSO BONILLA ARAGON;CALI;JUAN CASIANO SOLIS;GUAPI
EASYFLY S.A;AEROPUERTO INTERNACIONAL ALFONSO BONILLA ARAGON;CALI;LA FLORIDA;TUMACO
EASYFLY S.A;AEROPUERTO INTERNACIONAL ALFONSO BONILLA ARAGON;CALI;OLAYA HERRERA;MEDELLIN
EASYFLY S.A;AEROPUERTO INTERNACIONAL ALFONSO BONILLA ARAGON;CALI;PERALES;IBAGUE
EASYFLY S.A;AEROPUERTO INTERNACIONAL ALFONSO BONILLA ARAGON;CALI;TRES DE MAYO;PUERTO ASIS
EASYFLY S.A;AEROPUERTO INTERNACIONAL ALFONSO BONILLA ARAGON;CALI;VANGUARDIA;VILLAVICENCIO
FAST COLOMBIA SAS;AEROPUERTO INTERNACIONAL ALFONSO BONILLA ARAGON;CALI;AEROPUERTO INTERNACIONAL ALFREDO VASQUEZ COBO;LETICIA
